0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2122,808,3705,1441,1726,876,1376,1608,2450,2004,3008,2374,2069,2056,1106,2357,3558,1389,3512,5281,4145
2372,1022,3970,1681,1971,1105,1850,1859,2278,2106,3193,2481,2378,2247,1518,2617,3483,1811,3782,4955,3838
1321,891,2916,947,821,1260,714,710,1646,1687,3108,2065,2076,1599,925,1559,4057,1154,2712,6152,5028
2312,1425,4418,2106,1892,1112,2209,2288,2262,1801,3447,2241,1690,2505,1638,2675,3825,1979,4238,4490,3346
2203,2149,4104,2440,1656,1718,1962,2058,2200,1488,3967,1956,1376,2792,1440,2544,4561,1739,3922,5228,4093
2165,1797,4036,2436,1740,954,2048,2139,2110,2345,3745,2702,2242,2723,1482,2523,4079,1821,3849,4732,3617
1202,1840,3115,1537,747,810,1042,1110,1162,993,2966,1371,1350,1782,536,1565,4850,855,2925,5512,4379
1409,1203,2997,1463,917,852,1059,928,1466,1494,3181,1875,1579,1683,588,1643,4198,1010,2803,5652,4542
1386,1702,3074,1598,804,1200,1098,1062,1596,1177,3328,1548,1626,1761,389,1721,4333,906,2883,5808,4698
1216,1010,2809,1105,808,897,865,746,1385,1554,3022,1938,1808,1494,648,1454,4062,1109,2603,5659,4549
1091,1515,2780,1317,561,1413,816,945,1305,1151,2671,1524,1597,1470,705,1430,4341,613,2577,6077,4964
1237,1453,2941,1453,712,974,1004,1106,1421,1301,2831,1634,1457,1641,87,1591,4205,791,2742,5759,4667
1389,1927,3263,1711,897,1100,1178,1259,1328,1153,3122,1523,1251,1943,729,1727,5171,998,3077,5826,4716
3426,3972,3507,3574,3382,4055,3504,3792,3307,3727,2175,4557,4567,2598,3530,3207,3730,3273,3274,8282,7173
4093,4568,3528,4210,4107,4799,4112,4411,3965,4422,2870,5290,5265,3291,4256,3897,4426,3999,3448,8990,7876
4109,4576,3261,4218,4250,5084,4120,4419,3982,4439,2341,5027,5788,3308,4548,3914,4602,4103,3176,9039,7925
3578,4141,3777,3731,3580,4255,3663,3945,3457,3910,2607,4749,4752,2783,3731,3391,3912,3474,3462,8470,7356
4379,4745,3469,4389,4417,5252,4287,4586,4252,4646,2536,5231,5996,3514,4714,4116,4831,4287,3389,9241,8126
3892,4402,3189,4048,3881,4582,3950,4249,3765,4208,2544,4954,5048,3078,4039,3684,4349,3782,3103,8765,7653
3651,4226,2795,3814,3865,4701,3742,4034,3530,3983,2046,4567,5327,2853,4158,3461,4034,3640,2688,8570,7459
3516,4074,2804,3666,3704,4540,3597,3879,3395,3848,1914,4643,4686,2718,3997,3327,4953,3493,2767,8738,7626
3808,4332,3983,3962,3796,4494,3879,4178,3684,4124,2833,4966,4963,2994,3953,3600,3992,3697,3685,8679,7568
4589,4830,4045,4581,4543,5241,4479,4668,4461,4874,3381,5820,5713,3735,4707,4345,4857,4442,3984,9423,8316
524,1823,2373,1544,1075,1717,1136,1233,666,1574,2370,2127,2173,1080,1381,797,4721,1123,2186,6350,5247
656,2298,2415,1872,1545,1633,1574,1704,815,1336,2299,2179,2158,1081,1381,867,4686,1123,2194,6265,5162
615,1673,2775,1411,920,1507,981,1078,895,1764,2740,2022,2007,1468,959,1194,4733,705,2565,6156,5052
